Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE
Lowest Temperature,01/1958,Belmullet,Degrees C,-4.8
Lowest Temperature,01/1958,Birr,Degrees C,-5.8
Lowest Temperature,01/1958,Valentia Observatory,Degrees C,-7.2
Lowest Temperature,01/1958,Casement,Degrees C,0
Lowest Temperature,01/1958,Claremorris,Degrees C,-9.6
Lowest Temperature,01/1958,Clones,Degrees C,-8.8
Lowest Temperature,01/1958,Cork airport,Degrees C,0
Lowest Temperature,01/1958,Dublin airport,Degrees C,-7
Lowest Temperature,01/1958,Galway,Degrees C,0
Lowest Temperature,01/1958,Kilkenny,Degrees C,-9.1
Lowest Temperature,01/1958,Malin head,Degrees C,-3.2
Lowest Temperature,01/1958,Mullingar,Degrees C,-8.8
Lowest Temperature,01/1958,Roches Point,Degrees C,-3.8
Lowest Temperature,01/1958,Rosslare,Degrees C,-5.1
Lowest Temperature,01/1958,Shannon airport,Degrees C,-6.1
Lowest Temperature,02/1958,Belmullet,Degrees C,-1.7
Lowest Temperature,02/1958,Birr,Degrees C,-2.9
Lowest Temperature,02/1958,Valentia Observatory,Degrees C,-1.8
Lowest Temperature,02/1958,Casement,Degrees C,0
Lowest Temperature,02/1958,Claremorris,Degrees C,-4.6
Lowest Temperature,02/1958,Clones,Degrees C,-5.1
Lowest Temperature,02/1958,Cork airport,Degrees C,0
Lowest Temperature,02/1958,Dublin airport,Degrees C,-3.1
Lowest Temperature,02/1958,Galway,Degrees C,0
Lowest Temperature,02/1958,Kilkenny,Degrees C,-3.2
Lowest Temperature,02/1958,Malin head,Degrees C,-2.6
Lowest Temperature,02/1958,Mullingar,Degrees C,-3.9
Lowest Temperature,02/1958,Roches Point,Degrees C,0.4
Lowest Temperature,02/1958,Rosslare,Degrees C,0.2
Lowest Temperature,02/1958,Shannon airport,Degrees C,-3.3
Lowest Temperature,03/1958,Belmullet,Degrees C,-2.6
Lowest Temperature,03/1958,Birr,Degrees C,-6.1
Lowest Temperature,03/1958,Valentia Observatory,Degrees C,-2.7
Lowest Temperature,03/1958,Casement,Degrees C,0
Lowest Temperature,03/1958,Claremorris,Degrees C,-6.2
Lowest Temperature,03/1958,Clones,Degrees C,-4.9
Lowest Temperature,03/1958,Cork airport,Degrees C,0
Lowest Temperature,03/1958,Dublin airport,Degrees C,-5
Lowest Temperature,03/1958,Galway,Degrees C,0
Lowest Temperature,03/1958,Kilkenny,Degrees C,-5.9
Lowest Temperature,03/1958,Malin head,Degrees C,-2.6
Lowest Temperature,03/1958,Mullingar,Degrees C,-5.1
Lowest Temperature,03/1958,Roches Point,Degrees C,-1.9
Lowest Temperature,03/1958,Rosslare,Degrees C,-2.7
Lowest Temperature,03/1958,Shannon airport,Degrees C,-6.9
Lowest Temperature,04/1958,Belmullet,Degrees C,-0.4
Lowest Temperature,04/1958,Birr,Degrees C,-3.8
Lowest Temperature,04/1958,Valentia Observatory,Degrees C,0.2
Lowest Temperature,04/1958,Casement,Degrees C,0
Lowest Temperature,04/1958,Claremorris,Degrees C,-2.8
Lowest Temperature,04/1958,Clones,Degrees C,-2.7
Lowest Temperature,04/1958,Cork airport,Degrees C,0
Lowest Temperature,04/1958,Dublin airport,Degrees C,-1.2
Lowest Temperature,04/1958,Galway,Degrees C,0
Lowest Temperature,04/1958,Kilkenny,Degrees C,-2.9
Lowest Temperature,04/1958,Malin head,Degrees C,1.6
Lowest Temperature,04/1958,Mullingar,Degrees C,-2.1
Lowest Temperature,04/1958,Roches Point,Degrees C,0
Lowest Temperature,04/1958,Rosslare,Degrees C,0
Lowest Temperature,04/1958,Shannon airport,Degrees C,-2.8
Lowest Temperature,05/1958,Belmullet,Degrees C,2.5
Lowest Temperature,05/1958,Birr,Degrees C,1.2
Lowest Temperature,05/1958,Valentia Observatory,Degrees C,2.2
Lowest Temperature,05/1958,Casement,Degrees C,0
Lowest Temperature,05/1958,Claremorris,Degrees C,0
Lowest Temperature,05/1958,Clones,Degrees C,-0.2
Lowest Temperature,05/1958,Cork airport,Degrees C,0
Lowest Temperature,05/1958,Dublin airport,Degrees C,2.4
Lowest Temperature,05/1958,Galway,Degrees C,0
Lowest Temperature,05/1958,Kilkenny,Degrees C,0.6
Lowest Temperature,05/1958,Malin head,Degrees C,1.6
Lowest Temperature,05/1958,Mullingar,Degrees C,2.2
Lowest Temperature,05/1958,Roches Point,Degrees C,4.7
Lowest Temperature,05/1958,Rosslare,Degrees C,3.9
Lowest Temperature,05/1958,Shannon airport,Degrees C,0.7
Lowest Temperature,06/1958,Belmullet,Degrees C,6.7
Lowest Temperature,06/1958,Birr,Degrees C,3.4
Lowest Temperature,06/1958,Valentia Observatory,Degrees C,7.6
Lowest Temperature,06/1958,Casement,Degrees C,0
Lowest Temperature,06/1958,Claremorris,Degrees C,2.8
Lowest Temperature,06/1958,Clones,Degrees C,5.1
Lowest Temperature,06/1958,Cork airport,Degrees C,0
Lowest Temperature,06/1958,Dublin airport,Degrees C,5.6
Lowest Temperature,06/1958,Galway,Degrees C,0
Lowest Temperature,06/1958,Kilkenny,Degrees C,3.4
Lowest Temperature,06/1958,Malin head,Degrees C,6.8
Lowest Temperature,06/1958,Mullingar,Degrees C,4.8
Lowest Temperature,06/1958,Roches Point,Degrees C,7.2
Lowest Temperature,06/1958,Rosslare,Degrees C,5.3
Lowest Temperature,06/1958,Shannon airport,Degrees C,5.1
